B00029HSTU	698865011
B00029HSTU	2205718011
B00029HSTU	379281011
B00029HSTU	405574011
B00029HSTU	384777011
B0002JUW1Q	379246011
B0002JUW1Q	2205677011
B0002JUW1Q	379318011
B0002JUW1Q	379277011
B0000TFLA0	378521011
B0000TFLA0	2205679011
B0000TFLA0	2205710011
B0000TFLA0	2205786011
B0000TFLA0	2205785011
B0000TFLA0	379318011
B0000TFLA0	379312011
B0000TFLA0	379301011
B0000TFLA0	379289011
B0000TFLA0	379281011
B0000TFLA0	371621011
B0000TFLA0	371612011
B0000TFLA0	371610011
B0000TFLA0	371608011
B0000TFLA0	371603011
B0000TFLA0	373061011
